Index,Structure-ID,X,Y,Z,[0.001 Gene Threshold] K=13,[0.01 Gene Threshold] K=13,[85% Active Gene Threshold] K=13,[70% Edge Voxels] K=13,[Actb-74881516] K=13,[Chat-252] K=13
618,1048,55,28,27,6,1,6,1,0,5
619,970,56,28,27,9,1,6,,4,4
620,970,57,28,27,9,5,2,,7,7
621,970,58,28,27,9,5,2,,4,7
622,1048,59,28,27,9,5,2,,0,4
623,1048,60,28,27,9,7,2,,0,0
624,773,61,28,27,3,7,2,,10,7
625,773,62,28,27,3,6,10,,10,10
626,773,63,28,27,3,6,4,9,7,7
627,773,64,28,27,3,6,0,,7,0
628,1048,54,29,27,6,2,6,3,5,9
629,1048,55,29,27,6,2,6,3,12,9
630,1048,56,29,27,6,2,6,3,9,9
631,1048,57,29,27,2,2,6,3,6,7
632,1048,58,29,27,2,1,6,1,9,7
633,1048,59,29,27,9,1,2,1,1,9
634,1048,60,29,27,9,1,2,1,1,0
635,1048,61,29,27,9,5,2,,6,4
636,773,62,29,27,3,5,2,,10,10
637,773,63,29,27,3,6,4,,4,4
638,773,64,29,27,3,6,0,,0,0
639,1048,54,30,27,6,2,6,3,12,9
640,1048,55,30,27,6,2,6,3,5,9
641,1048,56,30,27,6,2,6,3,12,9
642,1048,57,30,27,2,2,6,3,12,4
643,1048,58,30,27,2,2,6,3,1,7
644,1048,59,30,27,2,2,6,3,5,4
645,1048,60,30,27,2,2,6,3,3,0
646,1048,61,30,27,2,1,6,,5,7
647,1107,62,30,27,9,1,2,,9,10
648,1107,63,30,27,9,5,2,,9,4
649,1107,64,30,27,9,5,0,,1,0
650,1048,54,31,27,2,2,6,3,1,4
651,1048,55,31,27,2,8,6,3,12,9
652,1048,56,31,27,2,2,6,3,12,9
653,1048,57,31,27,2,2,6,3,5,9
654,1048,58,31,27,2,2,6,3,12,7
655,1048,59,31,27,2,2,6,3,5,4
656,1048,60,31,27,2,2,6,3,3,0
657,1107,62,31,27,2,2,6,,5,10
658,1107,63,31,27,2,1,6,1,12,4
659,1048,54,32,27,12,8,1,7,1,4
660,1048,55,32,27,12,8,1,7,9,9
661,1048,56,32,27,2,8,9,7,5,9
662,1048,57,32,27,2,2,6,3,5,4
663,1048,58,32,27,2,8,1,7,5,7
664,1048,60,32,27,2,2,6,3,3,0
665,1107,62,32,27,6,2,6,3,5,5
666,307,53,33,27,12,8,2,,1,9
667,1048,54,33,27,12,8,1,,1,4
668,1048,55,33,27,12,8,1,7,6,9
669,1048,56,33,27,12,8,9,7,5,4
670,1048,57,33,27,12,8,1,7,12,7
671,1048,58,33,27,12,8,1,7,12,1
672,1048,59,33,27,12,8,1,7,12,7
673,1048,60,33,27,2,8,1,7,5,0
674,307,53,34,27,12,8,11,1,1,9
675,307,54,34,27,7,3,11,8,6,9
676,307,55,34,27,7,3,1,,0,4
677,1048,56,34,27,7,3,9,,12,7
678,1048,57,34,27,7,8,1,,12,7
679,1048,58,34,27,7,8,1,,12,10
680,307,59,34,27,7,3,1,,0,1
681,307,54,35,27,4,4,11,8,10,9
682,307,55,35,27,4,3,11,8,4,9
683,307,56,35,27,7,3,3,8,12,7
684,307,57,35,27,7,3,3,,1,4
685,307,58,35,27,7,3,3,,6,1
686,307,55,36,27,1,5,7,6,7,9
687,970,56,26,28,6,2,6,3,7,9
688,773,60,26,28,3,9,8,5,11,0
689,970,55,27,28,6,1,6,,4,1
690,970,58,27,28,3,7,2,5,11,9
691,970,59,27,28,3,9,2,,2,4
692,773,60,27,28,3,9,8,,7,0
693,773,61,27,28,3,9,8,5,10,1
694,773,62,27,28,3,3,10,9,6,5
695,1048,54,28,28,6,2,6,3,1,9
696,1048,55,28,28,6,2,6,3,9,1
697,1048,60,28,28,9,5,2,,9,0
698,773,61,28,28,3,5,2,5,6,7
699,773,62,28,28,3,6,10,9,0,10
700,773,63,28,28,3,6,4,9,10,7
701,1048,54,29,28,6,2,6,3,5,9
702,1048,55,29,28,6,2,6,3,5,9
703,1048,57,29,28,6,2,6,3,9,4
704,1048,61,29,28,9,1,2,,1,7
705,773,62,29,28,9,5,2,10,10,10
706,773,63,29,28,3,6,4,9,4,4
707,773,64,29,28,3,6,0,9,10,0
708,1048,54,30,28,6,2,6,3,1,9
709,1048,55,30,28,6,2,6,3,12,9
710,1048,57,30,28,6,2,6,3,5,9
711,773,63,30,28,9,5,2,1,1,7
712,773,64,30,28,9,5,0,10,12,0
713,1048,54,31,28,12,8,6,3,6,4
714,1048,55,31,28,2,8,6,3,6,9
715,1048,54,32,28,12,8,1,7,6,4
716,1048,55,32,28,12,8,1,7,0,9
717,307,54,33,28,12,3,1,,9,4
718,1048,55,33,28,12,3,1,7,9,9
719,1048,56,33,28,12,8,9,7,5,9
720,1048,58,33,28,12,8,1,7,5,1
721,307,53,34,28,12,4,11,8,10,9
722,307,54,34,28,7,3,11,8,6,9
723,1048,55,34,28,7,3,1,,6,9
724,1048,59,34,28,7,8,1,,1,7
725,307,54,35,28,4,4,11,8,10,9
726,307,55,35,28,4,3,11,8,4,4
727,307,56,35,28,7,3,3,8,1,9
728,307,57,35,28,7,3,3,,9,9
729,307,58,35,28,7,3,3,,9,7
730,307,54,36,28,1,5,7,6,4,9
731,307,57,36,28,4,3,3,8,0,9
732,970,56,26,29,6,2,6,3,7,9
733,773,60,26,29,3,9,8,5,11,0
734,970,55,27,29,6,1,6,,7,7
735,970,57,27,29,9,5,2,5,11,9
736,970,58,27,29,3,7,2,5,11,9
737,970,59,27,29,3,7,5,,11,4
738,773,60,27,29,3,9,8,,2,0
739,773,61,27,29,3,9,8,5,7,1
740,773,62,27,29,3,6,10,9,7,5
741,1048,54,28,29,6,2,6,3,1,9
742,1048,55,28,29,6,2,6,3,0,4
743,773,60,28,29,9,5,2,,0,0
744,773,61,28,29,3,5,2,5,0,7
745,773,62,28,29,3,6,10,9,10,1
746,773,63,28,29,3,6,4,9,4,7
747,773,64,28,29,3,6,0,9,7,0
748,1048,54,29,29,6,2,6,3,5,9
749,1048,55,29,29,6,2,6,3,12,9
750,1048,57,29,29,6,2,6,3,6,9
751,1048,61,29,29,9,1,2,,9,7
752,773,62,29,29,9,5,2,9,10,10
753,773,63,29,29,3,6,4,9,4,4
754,773,64,29,29,3,6,0,9,10,0
755,1048,54,30,29,6,2,6,3,12,9
756,1048,55,30,29,6,2,6,3,12,9
757,1048,57,30,29,6,2,6,3,12,9
758,1048,59,30,29,6,2,6,3,3,4
759,773,63,30,29,9,5,2,1,9,7
760,773,64,30,29,9,5,0,10,12,0
761,1048,54,31,29,2,8,6,3,9,4
762,1048,55,31,29,2,8,6,3,9,9
763,1048,60,31,29,6,2,6,3,3,0
764,1048,54,32,29,12,8,1,7,9,7
765,1048,55,32,29,12,8,1,7,6,9
766,1048,56,32,29,2,8,9,7,12,9
767,307,54,33,29,12,8,1,,9,4
768,1048,55,33,29,12,8,1,7,9,9
769,1048,56,33,29,12,8,9,7,5,9
770,1048,58,33,29,12,8,1,7,5,1
771,307,53,34,29,12,4,11,8,0,9
772,307,54,34,29,7,3,11,8,9,9
773,1048,55,34,29,7,3,1,,6,4
774,1048,58,34,29,7,8,1,,5,1
775,1048,59,34,29,7,3,1,,12,4
776,307,54,35,29,4,4,11,8,0,9
777,307,55,35,29,4,3,11,8,0,4
778,307,56,35,29,7,3,3,8,1,9
779,307,57,35,29,7,3,3,,1,9
780,307,58,35,29,7,3,3,,6,7
781,773,60,26,30,3,9,8,,11,0
782,970,55,27,30,9,5,2,,11,7
783,970,56,27,30,9,5,2,,11,9
784,970,57,27,30,3,7,2,5,2,4
785,970,58,27,30,3,7,5,,11,9
786,970,59,27,30,3,7,5,,11,4
787,773,61,27,30,3,6,8,,11,1
788,773,62,27,30,3,11,10,,11,10
789,1048,54,28,30,6,2,6,3,6,9
790,1048,55,28,30,9,1,6,1,10,4
791,970,56,28,30,9,1,6,,2,9
792,970,57,28,30,9,5,2,,2,9
793,970,58,28,30,9,5,2,,2,9
794,1048,59,28,30,3,7,2,,7,9
795,1048,60,28,30,3,7,2,,4,0
796,773,61,28,30,3,7,8,,7,1
797,773,62,28,30,3,6,10,,7,1
798,773,63,28,30,3,6,4,,7,7
799,773,64,28,30,3,6,0,,7,0
800,1048,54,29,30,6,2,6,3,1,9
801,1048,55,29,30,6,2,6,3,1,9
802,1048,56,29,30,6,2,6,3,6,9
803,1048,57,29,30,2,1,6,1,10,9
804,1048,58,29,30,9,1,2,1,0,4
805,1048,59,29,30,9,1,2,1,1,9
806,1048,60,29,30,9,1,2,1,12,0
807,1048,61,29,30,9,5,2,,9,1
808,773,62,29,30,5,5,10,,0,5
809,773,63,29,30,3,6,4,,10,7
810,773,64,29,30,3,6,0,,0,0
811,1048,54,30,30,6,2,6,3,12,4
812,1048,55,30,30,6,2,6,3,12,9
813,1048,56,30,30,6,2,6,3,1,9
814,1048,57,30,30,2,2,6,3,1,9
815,1048,58,30,30,2,2,6,3,12,7
816,1048,59,30,30,2,8,2,7,5,4
817,1048,60,30,30,2,8,2,7,5,0
818,1048,61,30,30,2,1,2,,12,1
819,1107,62,30,30,9,4,2,,9,8
820,1107,63,30,30,9,5,4,,6,7
821,1107,64,30,30,5,4,0,,9,0
822,1048,54,31,30,2,2,6,3,1,7
823,1048,55,31,30,2,8,6,3,12,9
824,1048,56,31,30,2,2,6,3,1,9
825,1048,57,31,30,2,2,6,3,12,9
826,1048,58,31,30,2,8,6,3,12,4
827,1048,59,31,30,2,8,2,7,12,4
828,1048,60,31,30,2,8,2,7,5,0
829,1107,62,31,30,2,1,2,,12,5
830,1107,63,31,30,9,1,2,1,12,7
831,1048,54,32,30,12,8,1,7,9,7
832,1048,55,32,30,12,8,1,7,1,9
833,1048,56,32,30,2,8,9,7,12,9
834,1048,57,32,30,2,8,6,3,1,9
835,1048,58,32,30,2,8,1,7,1,7
836,1048,60,32,30,2,8,1,7,3,0
837,1107,62,32,30,2,8,2,1,12,8
838,307,53,33,30,12,8,2,,9,9
839,1048,54,33,30,12,8,1,,1,7
840,1048,55,33,30,12,8,1,7,6,9
841,1048,56,33,30,12,8,9,7,5,9
842,1048,57,33,30,12,8,1,7,1,4
843,1048,58,33,30,12,8,1,7,12,1
844,1048,59,33,30,12,8,1,7,1,4
845,1048,60,33,30,12,8,1,7,5,0
846,307,53,34,30,12,8,11,7,9,9
847,307,54,34,30,7,3,11,8,1,9
848,307,55,34,30,7,3,1,,6,4
849,1048,56,34,30,7,3,9,,5,9
850,1048,57,34,30,7,3,1,,12,9
851,1048,58,34,30,7,3,1,,12,1
852,307,59,34,30,7,3,1,,9,4
853,307,54,35,30,4,4,11,8,6,9
854,307,55,35,30,4,3,11,8,6,9
855,307,56,35,30,7,3,3,8,12,9
856,307,57,35,30,7,3,3,,1,9
857,307,58,35,30,7,3,3,,6,7
858,307,55,36,30,1,5,7,6,10,9
859,136,60,26,31,10,11,8,,11,0
860,1048,54,27,31,9,1,6,,4,4
861,970,57,27,31,3,7,2,,2,4
862,970,58,27,31,3,7,5,,2,9
863,136,59,27,31,3,7,5,,11,7
864,136,60,27,31,3,7,8,,11,0
865,136,61,27,31,10,11,8,,11,1
866,136,62,27,31,8,11,10,,11,1
867,136,63,27,31,8,11,4,,11,1
868,1048,54,28,31,6,2,6,,1,4
869,1048,55,28,31,6,1,6,,6,1
870,1048,56,28,31,9,1,6,,10,9
871,1048,57,28,31,9,5,2,,7,9
872,1048,58,28,31,9,5,2,,7,9
873,1048,59,28,31,5,7,5,,7,4
874,1048,60,28,31,10,7,8,,4,0
875,1048,61,28,31,10,11,8,,2,1
876,773,62,28,31,8,11,10,,7,1
877,1107,63,28,31,8,6,4,,10,7
878,1107,64,28,31,0,11,0,,10,0
879,1048,54,29,31,6,2,6,,5,4
880,1048,55,29,31,6,2,6,,5,9
881,1048,56,29,31,6,2,6,,1,9
882,1048,57,29,31,2,2,6,,0,9
883,1048,58,29,31,9,1,2,1,6,4
884,1048,59,29,31,9,4,2,7,9,4
885,1048,60,29,31,5,4,2,7,9,0
886,1048,61,29,31,5,4,2,,6,1
887,1107,62,29,31,5,4,10,,6,8
888,1107,63,29,31,0,0,4,,9,7
889,1107,64,29,31,0,0,0,,9,0
890,1048,54,30,31,6,2,6,3,5,4
891,1048,55,30,31,6,2,6,,5,9
892,1048,56,30,31,6,2,6,,5,9
893,1048,57,30,31,2,2,6,3,12,9
894,1048,58,30,31,2,8,6,7,12,4
895,1048,59,30,31,2,8,2,7,12,4
896,1048,60,30,31,5,8,2,7,12,0
897,1048,61,30,31,5,4,2,,1,1
898,1107,62,30,31,5,4,10,,9,12
899,1107,63,30,31,5,4,4,4,6,7
900,1107,64,30,31,0,4,0,4,6,0
901,1048,54,31,31,2,2,6,3,12,7
902,1048,55,31,31,2,2,6,3,5,9
903,1048,56,31,31,2,2,6,3,3,9
904,1048,57,31,31,2,2,6,3,5,9
905,1048,58,31,31,2,8,2,7,5,4
906,1048,59,31,31,2,8,2,7,12,7
907,1048,60,31,31,12,8,2,7,5,0
908,1048,61,31,31,5,4,2,,12,1
909,1107,62,31,31,5,4,10,,9,8
910,1107,63,31,31,5,4,4,4,6,7
911,1107,64,31,31,5,4,0,4,9,0
912,1048,54,32,31,12,8,6,7,1,7
913,1048,55,32,31,12,8,6,7,1,9
914,1048,56,32,31,2,8,9,3,5,9
915,1048,57,32,31,2,8,6,3,5,4
916,1048,58,32,31,2,8,1,7,12,4
917,1048,59,32,31,12,8,1,7,12,7
918,1048,60,32,31,12,8,2,7,5,0
919,1048,61,32,31,5,8,2,,12,10
920,1107,62,32,31,5,4,10,4,1,8
921,1107,63,32,31,5,4,4,4,9,7
922,1107,64,32,31,9,4,0,4,12,0
923,307,53,33,31,12,8,2,,9,9
924,1048,54,33,31,12,8,1,,9,7
925,1048,55,33,31,12,8,1,7,6,9
926,1048,56,33,31,12,8,9,7,5,9
927,1048,57,33,31,12,8,1,7,5,4
928,1048,58,33,31,12,8,1,7,12,7
929,1048,59,33,31,7,8,1,7,1,7
930,1048,60,33,31,7,8,1,7,5,0
931,1107,62,33,31,5,4,10,,12,12
932,307,53,34,31,12,8,11,,6,9
933,307,54,34,31,7,3,11,,1,9
934,307,55,34,31,7,3,1,,6,9
935,1048,56,34,31,7,3,9,,12,9
936,1048,57,34,31,7,3,1,,5,4
937,1048,58,34,31,7,3,1,,12,1
938,307,59,34,31,7,3,1,,9,7
939,1048,60,34,31,7,3,1,,12,0
940,1048,61,34,31,7,4,12,,12,10
941,1107,62,34,31,5,4,12,,12,12
942,307,54,35,31,4,3,11,8,9,9
943,307,55,35,31,7,3,11,,6,9
944,307,56,35,31,7,3,3,,12,9
945,307,57,35,31,7,3,3,,1,9
946,307,58,35,31,7,3,3,,9,1
947,307,59,35,31,7,3,3,12,0,4
948,307,60,35,31,7,3,3,5,6,0
949,307,54,36,31,1,5,7,6,0,9
950,307,55,36,31,1,5,7,6,10,9
951,307,57,36,31,4,12,3,8,9,9
952,307,58,36,31,4,12,3,8,4,7
953,136,57,27,32,3,7,2,,2,4
954,136,58,27,32,3,7,5,,7,7
955,136,59,27,32,10,7,5,,2,1
956,136,60,27,32,10,11,8,,2,0
957,136,61,27,32,10,11,8,,2,1
958,136,62,27,32,8,11,10,,11,10
959,136,63,27,32,8,11,4,,11,7
960,136,64,27,32,0,11,0,,2,0
961,136,54,28,32,6,2,6,,5,4
962,136,57,28,32,9,1,2,,4,9
963,1048,58,28,32,5,5,5,,4,7
964,136,59,28,32,10,12,5,,7,1
965,136,60,28,32,10,11,8,,2,0
966,136,61,28,32,10,11,8,,2,1
967,136,62,28,32,8,11,10,,7,10
968,136,63,28,32,8,11,4,,10,7
969,136,64,28,32,0,0,0,,6,0
970,136,54,29,32,6,2,6,,3,4
971,136,55,29,32,6,2,6,,3,9
972,136,56,29,32,6,2,6,,12,9
973,136,57,29,32,2,2,6,,6,9
974,1048,58,29,32,5,1,2,,0,7
975,136,59,29,32,5,4,5,,0,1
976,1048,60,29,32,10,4,8,,10,0
977,1048,61,29,32,10,12,8,,10,1
978,1107,62,29,32,8,0,10,,0,8
979,1107,63,29,32,0,0,4,,9,7
980,1107,64,29,32,0,0,0,,1,0
981,136,54,30,32,6,2,6,,3,4
982,136,55,30,32,6,2,6,,3,9
983,136,56,30,32,6,2,6,,3,9
984,136,57,30,32,2,2,6,,12,4
985,1048,58,30,32,5,4,2,,9,4
986,1048,59,30,32,5,4,5,4,6,1
987,1048,60,30,32,5,4,8,4,6,0
988,1048,61,30,32,5,4,8,,6,1
989,1107,62,30,32,8,0,10,,6,12
990,1107,63,30,32,0,0,4,4,6,7
991,1107,64,30,32,0,0,0,4,9,0
992,1048,54,31,32,2,2,6,,5,4
993,136,55,31,32,6,2,6,,3,9
994,136,56,31,32,6,2,6,,3,4
995,1048,57,31,32,2,8,6,,5,7
996,1048,58,31,32,5,4,2,7,1,4
997,1048,59,31,32,5,4,5,4,9,1
998,1048,60,31,32,5,4,8,4,9,0
999,1048,61,31,32,5,4,8,,9,1
1000,1107,62,31,32,5,4,10,,6,12
1001,1107,63,31,32,0,0,4,4,0,7
1002,1107,64,31,32,0,0,0,4,6,0
1003,1048,54,32,32,12,8,6,,12,4
1004,136,55,32,32,2,8,6,,12,4
1005,1048,56,32,32,2,8,9,,3,4
1006,1048,57,32,32,2,8,6,7,12,1
1007,1048,58,32,32,5,4,1,7,9,7
1008,1048,59,32,32,5,4,5,4,1,1
1009,1048,60,32,32,5,4,8,4,1,0
1010,1048,61,32,32,5,4,8,,9,10
1011,1107,62,32,32,8,4,10,,9,8
1012,1107,63,32,32,0,0,4,4,0,7
1013,1107,64,32,32,0,0,0,4,6,0
1014,1048,54,33,32,12,8,1,,9,4
1015,1048,55,33,32,12,8,9,,1,4
1016,1048,56,33,32,12,8,9,,5,4
1017,1048,57,33,32,12,8,1,7,12,1
1018,1048,58,33,32,12,8,1,7,9,1
1019,1048,59,33,32,5,4,1,7,1,1
1020,1048,61,33,32,5,4,8,,9,10
1021,1107,62,33,32,8,4,10,,9,12
1022,1107,63,33,32,0,0,12,4,6,1
1023,1107,64,33,32,0,4,12,4,1,0
1024,307,53,34,32,12,8,11,,9,9
1025,1048,54,34,32,12,3,11,,1,9
1026,978,55,34,32,12,3,1,,1,4
1027,1048,56,34,32,12,8,9,,1,4
1028,978,57,34,32,7,8,1,,12,7
1029,1048,58,34,32,7,3,1,,12,1
1030,307,59,34,32,7,3,1,,9,1
1031,1048,61,34,32,7,4,12,,9,1
1032,1107,62,34,32,8,0,12,,9,12
1033,307,53,35,32,9,1,11,,9,9
1034,1048,54,35,32,11,3,11,,1,9
1035,978,55,35,32,11,3,11,,1,9
1036,978,57,35,32,7,3,3,,12,4
1037,307,58,35,32,7,3,3,,9,10
1038,307,59,35,32,7,3,3,,0,1
1039,307,60,35,32,7,12,3,,0,0
1040,978,55,36,32,1,10,7,,9,9
1041,978,57,36,32,4,12,3,,1,9
1042,307,58,36,32,4,12,3,,4,1
1043,307,59,36,32,4,12,3,5,7,4
1044,978,57,37,32,1,5,7,,10,9
1045,852,54,25,33,3,7,2,5,11,9
1046,852,54,26,33,9,5,2,1,10,9
1047,852,55,27,33,9,1,6,1,4,7
1048,136,57,27,33,3,7,5,,7,4
1049,852,60,27,33,10,11,8,,7,0
1050,852,61,27,33,10,11,8,,7,1
1051,852,62,27,33,8,11,10,,7,10
1052,1098,63,27,33,8,11,4,,2,7
1053,1098,64,27,33,0,11,0,,4,0
1054,136,54,28,33,6,2,6,,5,9
1055,852,55,28,33,6,2,6,,1,4
1056,852,56,28,33,9,1,6,,10,9
1057,136,57,28,33,9,5,2,,4,4
1058,136,58,28,33,5,4,5,,4,1
1059,852,59,28,33,10,12,5,,7,5
1060,852,60,28,33,10,11,8,,11,0
1061,136,61,28,33,10,11,8,,11,1
1062,136,62,28,33,8,11,10,,2,5
1063,136,63,28,33,8,11,4,,7,7
1064,136,64,28,33,0,0,0,,0,0
1065,1098,65,28,33,0,0,0,,12,0
1066,136,54,29,33,6,2,6,,3,4
1067,136,55,29,33,6,2,6,,3,9
1068,136,56,29,33,6,2,6,,1,9
1069,136,57,29,33,2,1,2,,0,4
1070,136,58,29,33,5,4,5,,4,1
1071,136,59,29,33,10,12,5,,7,5
1072,136,60,29,33,10,11,8,,7,0
1073,136,61,29,33,10,11,8,,7,1
1074,136,62,29,33,8,11,10,,7,5
1075,136,63,29,33,0,0,4,,10,7
1076,136,64,29,33,0,0,0,,9,0
1077,136,54,30,33,6,2,6,3,3,4
1078,136,55,30,33,6,2,6,3,3,4
1079,136,56,30,33,6,2,6,3,5,4
1080,136,57,30,33,12,8,2,,9,7
1081,136,58,30,33,5,4,5,,10,1
1082,136,59,30,33,10,12,5,,7,5
1083,1048,60,30,33,10,12,8,,10,0
1084,136,61,30,33,8,12,8,,10,1
1085,1107,62,30,33,8,0,10,,10,8
1086,136,63,30,33,0,0,4,,0,7
1087,1107,64,30,33,0,0,0,,6,0
1088,136,55,31,33,2,2,6,3,3,4
1089,136,56,31,33,2,8,9,3,3,7
1090,136,57,31,33,5,4,2,,1,10
1091,1048,58,31,33,5,4,5,,10,1
1092,136,59,31,33,10,12,5,,4,10
1093,1048,60,31,33,10,12,8,,10,0
1094,1048,61,31,33,8,12,8,,10,1
1095,1107,62,31,33,8,0,10,,0,12
1096,1107,63,31,33,0,0,4,2,0,1
1097,1107,64,31,33,0,0,0,4,6,0
1098,136,54,32,33,12,8,6,,1,4
1099,136,55,32,33,12,8,6,,12,7
1100,136,56,32,33,2,8,9,,3,1
1101,136,57,32,33,5,4,2,,6,12
1102,1048,58,32,33,5,4,5,,6,5
1103,1048,59,32,33,5,12,5,,0,10
1104,1048,60,32,33,10,12,8,12,4,0
1105,1048,61,32,33,8,12,8,,10,10
1106,1107,62,32,33,8,0,10,,0,12
1107,1107,63,32,33,8,0,4,2,10,1
1108,1107,64,32,33,0,0,0,4,0,0
1109,661,54,33,33,12,8,1,,9,4
1110,136,55,33,33,12,8,9,,12,1
1111,1048,56,33,33,12,8,9,,12,1
1112,1048,57,33,33,12,4,9,,0,12
1113,1048,58,33,33,5,4,5,,0,5
1114,1048,59,33,33,5,4,5,,9,10
1115,1048,61,33,33,8,12,8,,6,10
1116,1107,62,33,33,8,12,10,,0,12
1117,1107,63,33,33,8,0,12,2,10,1
1118,1107,64,33,33,0,0,12,4,6,0
1119,661,54,34,33,12,8,11,,1,4
1120,661,55,34,33,11,8,11,,5,1
1121,978,56,34,33,11,8,9,,1,7
1122,1048,57,34,33,12,8,1,,6,1
1123,1048,58,34,33,7,4,1,,6,10
1124,1048,59,34,33,7,12,1,,6,10
1125,1107,62,34,33,8,6,12,,10,12
1126,1107,63,34,33,8,6,12,2,12,10
1127,661,54,35,33,11,3,11,,1,9
1128,661,55,35,33,11,3,11,,1,4
1129,978,56,35,33,11,3,11,,5,9
1130,978,57,35,33,7,3,3,,1,7
1131,978,58,35,33,7,3,3,,6,8
1132,1107,63,35,33,4,6,12,10,8,1
1133,661,54,36,33,1,1,7,,10,9
1134,978,56,36,33,4,10,7,6,5,9
1135,978,57,36,33,4,10,7,8,1,9
1136,978,58,36,33,4,12,3,8,4,1
1137,307,59,36,33,4,12,3,,2,7
1138,978,58,37,33,1,5,7,6,2,9
1139,852,54,25,34,3,7,2,5,7,9
1140,852,54,26,34,9,1,2,1,0,9
1141,1098,63,26,34,8,11,4,,7,7
1142,852,54,27,34,6,2,6,1,9,9
1143,852,55,27,34,9,1,6,1,10,4
1144,852,61,27,34,10,11,8,12,10,1
1145,852,62,27,34,8,11,10,,4,10
1146,1098,63,27,34,8,11,4,,7,7
1147,1098,64,27,34,0,0,0,12,4,0
1148,852,54,28,34,6,2,6,3,5,9
1149,852,55,28,34,6,2,6,1,9,9
1150,852,56,28,34,9,1,9,1,0,4
1151,852,57,28,34,5,4,5,,0,7
1152,852,58,28,34,10,12,5,,10,10
1153,852,59,28,34,10,11,5,12,7,8
1154,852,60,28,34,10,11,8,,2,0
1155,852,61,28,34,10,11,8,,2,1
1156,852,62,28,34,8,11,10,,2,10
1157,1098,63,28,34,0,11,4,,7,7
1158,1098,64,28,34,0,0,0,12,10,0
1159,1098,65,28,34,0,0,0,12,9,0
1160,136,53,29,34,6,2,6,,3,9
1161,852,54,29,34,6,2,6,,5,4
1162,852,55,29,34,6,2,6,,12,4
1163,852,56,29,34,12,8,9,,9,4
1164,852,57,29,34,5,4,5,,6,7
1165,852,58,29,34,10,12,5,,7,5
1166,852,59,29,34,10,11,5,,11,8
1167,136,60,29,34,10,11,8,,2,0
1168,136,61,29,34,10,11,8,,2,10
1169,136,62,29,34,8,11,10,,7,5
1170,136,63,29,34,0,0,4,,4,1
1171,136,64,29,34,0,0,0,,6,0
1172,1098,65,29,34,0,0,0,,9,0
1173,136,53,30,34,2,8,6,3,5,9
1174,136,54,30,34,6,2,6,,5,4
1175,852,55,30,34,2,2,6,,12,7
1176,136,56,30,34,12,8,9,,1,7
1177,136,57,30,34,5,4,5,,6,10
1178,136,58,30,34,10,12,5,,4,5
1179,136,59,30,34,10,12,5,,7,8
1180,136,60,30,34,10,12,8,12,4,0
1181,136,61,30,34,10,12,8,12,4,10
1182,136,62,30,34,8,0,10,2,10,8
1183,136,63,30,34,0,0,4,,10,1
1184,136,64,30,34,0,0,0,,0,0
1185,136,65,30,34,0,0,0,,0,0
1186,136,53,31,34,12,8,6,3,5,4
1187,136,54,31,34,12,8,6,3,5,7
1188,136,55,31,34,12,8,6,7,9,1
1189,136,56,31,34,5,4,9,7,12,5
1190,136,57,31,34,5,4,5,12,0,3
1191,136,58,31,34,10,12,5,12,4,8
1192,136,59,31,34,10,12,5,,4,5
1193,136,61,31,34,8,12,8,,10,5
1194,136,62,31,34,8,0,10,,0,12
1195,136,63,31,34,0,0,4,,0,10
1196,1107,64,31,34,0,0,0,,6,0
1197,661,52,32,34,12,8,2,,6,4
1198,136,53,32,34,12,8,2,,12,4
1199,136,54,32,34,12,8,6,,9,1
1200,136,55,32,34,12,8,9,,0,5
1201,136,56,32,34,5,4,9,,1,12
1202,136,57,32,34,5,4,5,,0,6
1203,136,58,32,34,5,12,5,,0,3
1204,136,59,32,34,10,12,5,,10,5
1205,1048,60,32,34,10,12,8,,7,0
1206,1048,61,32,34,8,12,8,,7,5
1207,1107,62,32,34,8,0,10,,4,12
1208,1107,63,32,34,8,0,4,,4,1
1209,1107,64,32,34,0,0,0,,10,0
1210,661,53,33,34,12,8,2,,1,7
1211,661,54,33,34,12,8,11,,1,1
1212,661,55,33,34,11,8,9,,1,12
1213,661,56,33,34,11,8,9,,1,8
1214,136,57,33,34,5,4,9,,10,3
1215,136,58,33,34,5,4,5,,0,3
1216,978,60,33,34,10,12,8,,9,0
1217,978,61,33,34,8,12,8,,6,10
1218,1048,62,33,34,8,12,10,,10,8
1219,1107,63,33,34,8,0,12,2,7,1
1220,1107,64,33,34,0,0,12,2,10,0
1221,661,53,34,34,12,8,11,1,9,7
1222,661,54,34,34,11,8,11,0,9,1
1223,661,55,34,34,11,3,11,0,5,8
1224,661,56,34,34,11,3,9,,12,10
1225,978,57,34,34,11,4,1,,0,10
1226,1048,58,34,34,5,4,1,,0,5
1227,978,59,34,34,10,12,5,,10,10
1228,978,60,34,34,10,12,8,,0,0
1229,978,61,34,34,8,12,12,,0,1
1230,1107,63,34,34,8,6,12,2,9,10
1231,235,64,34,34,4,0,12,,9,0
1232,661,53,35,34,1,1,7,1,1,4
1233,661,54,35,34,11,8,11,0,0,4
1234,661,55,35,34,11,10,11,0,0,1
1235,978,56,35,34,11,10,11,,5,4
1236,978,57,35,34,11,10,3,8,6,4
1237,978,58,35,34,7,3,3,8,10,10
1238,978,59,35,34,10,12,3,,7,10
1239,978,60,35,34,4,12,3,5,10,0
