Index,Structure-ID,X,Y,Z,[0.001 Gene Threshold] K=13,[0.01 Gene Threshold] K=13,[85% Active Gene Threshold] K=13,[70% Edge Voxels] K=13,[Actb-74881516] K=13,[Chat-252] K=13
142,1098,64,27,22,0,0,0,12,10,0
143,852,53,28,22,12,8,2,7,12,12
144,852,54,28,22,2,2,6,3,5,10
145,852,55,28,22,2,8,6,3,1,1
146,852,56,28,22,5,1,9,7,9,1
147,852,58,28,22,10,12,5,12,10,7
148,852,59,28,22,10,12,5,12,2,4
149,852,60,28,22,10,11,8,12,2,0
150,852,61,28,22,10,11,8,,2,10
151,852,62,28,22,8,11,10,,2,10
152,1098,63,28,22,0,0,4,,7,1
153,1098,64,28,22,0,0,0,12,10,0
154,1098,65,28,22,0,0,0,12,6,0
155,136,53,29,22,12,8,2,,1,7
156,852,56,29,22,12,8,9,7,9,7
157,852,57,29,22,5,4,5,12,10,1
158,852,58,29,22,10,12,5,12,7,7
159,852,59,29,22,10,11,5,,2,7
160,136,60,29,22,10,11,8,,2,0
161,136,61,29,22,10,11,8,,7,10
162,136,62,29,22,8,11,10,,7,8
163,1098,63,29,22,0,0,4,,7,10
164,1098,64,29,22,0,0,0,,10,0
165,1098,65,29,22,0,0,0,12,0,0
166,136,53,30,22,12,8,2,,1,4
167,852,54,30,22,12,8,6,,12,10
168,852,55,30,22,12,8,9,7,0,1
169,852,56,30,22,5,3,9,7,6,7
170,852,57,30,22,10,12,5,,4,1
171,852,58,30,22,10,12,5,,7,1
172,136,60,30,22,10,11,8,12,4,0
173,136,61,30,22,10,12,8,12,10,8
174,136,62,30,22,8,0,10,2,4,3
175,136,63,30,22,0,0,4,2,10,5
176,136,64,30,22,0,0,0,,10,0
177,1098,65,30,22,0,0,0,,10,0
178,136,53,31,22,12,8,2,,12,4
179,136,54,31,22,12,8,6,,9,5
180,852,55,31,22,12,4,9,,0,5
181,136,56,31,22,5,4,9,,6,10
182,136,57,31,22,5,12,5,,4,3
183,136,58,31,22,10,12,5,12,4,12
184,136,59,31,22,10,12,5,12,7,10
185,136,61,31,22,8,12,8,12,10,8
186,136,62,31,22,8,0,10,2,4,12
187,136,63,31,22,0,0,4,2,10,10
188,136,64,31,22,0,0,0,,0,0
189,136,65,31,22,0,0,0,,10,0
190,136,53,32,22,12,8,2,,9,7
191,136,54,32,22,12,8,6,,6,8
192,136,55,32,22,12,4,9,,9,6
193,136,56,32,22,5,4,9,,9,6
194,136,57,32,22,5,4,9,,4,11
195,136,58,32,22,5,12,5,12,10,6
196,136,59,32,22,10,12,5,,4,5
197,136,60,32,22,10,12,8,,6,0
198,1048,62,32,22,8,0,10,,4,8
199,136,63,32,22,0,0,4,,4,1
200,136,64,32,22,0,0,0,,0,0
201,661,53,33,22,12,8,11,1,6,7
202,661,54,33,22,12,8,11,0,9,8
203,661,55,33,22,11,3,9,0,1,2
204,661,56,33,22,11,4,9,,12,2
205,136,57,33,22,5,4,9,,4,2
206,939,58,33,22,5,4,5,,0,6
207,939,59,33,22,10,12,5,,7,8
208,939,60,33,22,10,12,8,,0,0
209,1107,64,33,22,0,0,12,,12,0
210,661,54,34,22,11,8,11,0,6,1
211,661,55,34,22,11,3,11,0,6,6
212,661,56,34,22,11,3,11,,12,2
213,978,57,34,22,11,4,11,,0,3
214,143,58,34,22,5,4,3,,6,8
215,143,60,34,22,10,12,3,,0,0
216,1107,63,34,22,8,6,12,2,9,4
217,978,57,35,22,11,10,3,,9,1
218,143,58,35,22,4,3,3,,9,7
219,978,59,35,22,4,12,3,8,10,10
220,978,60,35,22,4,12,3,5,0,0
221,978,61,35,22,4,12,3,5,0,4
222,978,57,36,22,1,10,7,6,6,9
223,978,58,36,22,1,10,7,6,0,9
224,978,59,36,22,1,5,7,6,6,9
225,978,60,36,22,1,5,7,6,6,0
226,978,61,36,22,1,5,7,6,10,9
227,978,58,37,22,1,1,7,11,12,9
228,852,54,25,23,4,7,2,5,0,1
229,852,54,26,23,9,1,2,1,12,1
230,1098,63,26,23,8,11,4,,2,1
231,852,54,27,23,6,2,6,1,3,1
232,852,55,27,23,9,1,6,1,9,7
233,852,56,27,23,9,5,2,10,0,7
234,852,61,27,23,10,11,8,12,7,10
235,852,62,27,23,8,11,10,,11,5
236,1098,63,27,23,8,11,4,,11,1
237,1098,64,27,23,0,11,0,12,7,0
238,852,54,28,23,6,2,6,3,3,7
239,852,55,28,23,6,2,6,3,5,1
240,852,56,28,23,9,1,6,1,9,10
241,852,57,28,23,5,4,2,,0,1
242,852,58,28,23,10,12,5,,10,7
243,852,59,28,23,10,12,5,,7,4
244,852,60,28,23,10,11,8,,2,0
245,852,61,28,23,10,11,8,,2,10
246,852,62,28,23,8,11,10,,11,5
247,1098,63,28,23,0,11,4,,2,7
