index,voxRowNum,Structure-ID,X,Y,Z,Cluster_4,Cluster_6,Cluster_8,Cluster_13,Actb-74881516
43,57274,661,56,34,20,1,5,6,6,0.14557375
44,57276,978,58,34,20,0,0,0,0,0.15288116
45,57277,978,59,34,20,2,4,7,7,0.16926853
46,57278,978,60,34,20,0,0,4,10,0.1609402
47,57281,136,63,34,20,0,4,4,4,0.16471978
48,57339,661,54,35,20,1,5,1,1,0.13677122
49,57340,661,55,35,20,0,4,4,4,0.16216135
50,57341,661,56,35,20,1,5,6,6,0.14744279
51,57343,978,58,35,20,1,5,6,9,0.14364105
52,57344,978,59,35,20,1,5,1,1,0.13816777
53,59482,852,53,26,21,0,0,0,0,0.15230523
54,59549,852,53,27,21,1,5,1,9,0.13895403
55,59556,852,60,27,21,1,0,0,6,0.15002517
56,59558,852,62,27,21,0,0,4,10,0.1591868
57,59560,1098,64,27,21,0,0,4,10,0.15911934
